"","id","Idescat_code","municipality_name","year","group","group_threat","treat_ever","water_use","water_price","population","shr_left_2011","shr_left_2015","shr_left_2016","shr_14oryounger_2013","shr_65orolder_2013","shr_14oryounger_2016","shr_65orolder_2016","shr_tertiaryedu_2021","shared_basins","index_hydrological_drought"
"29",29,"080039","ALELLA",2020,0,NA,0,59.3516760904685,1.304,9904,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"31",29,"080039","ALELLA",2021,0,NA,0,63.1449668474985,1.304,9954,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"32",29,"080039","ALELLA",2018,0,NA,0,57.2183531339615,1.304,9764,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"33",29,"080039","ALELLA",2023,0,NA,0,52.7425321463897,1.304,10110,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"34",29,"080039","ALELLA",2019,0,NA,0,60.2120191817162,1.304,9801,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"35",29,"080039","ALELLA",2017,0,NA,0,60.0862337662338,1.304,9625,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"36",29,"080039","ALELLA",2022,0,NA,0,58.5316995733704,1.304,10079,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"37",29,"080039","ALELLA",2024,0,NA,0,NA,1.304,10.2,0.29301021430002,0.485317149569303,0.504059962523423,0.165634674922601,0.162229102167183,0.159053156146179,0.189161129568106,52.2,0,1.19241573033708
"40",44,"080044","ALPENS",2020,0,"2023",0,52.2375478927203,1.624,261,0.261627906976744,0.458563535911602,0.50609756097561,0.151315789473684,0.197368421052632,0.156462585034014,0.187074829931973,49.2,0,0.809954751131222
"41",44,"080044","ALPENS",2021,0,"2023",0,52.0334572490706,1.624,269,0.261627906976744,0.458563535911602,0.50609756097561,0.151315789473684,0.197368421052632,0.156462585034014,0.187074829931973,49.2,0,0.809954751131222
